,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,,,,,,,,,,,,,,,,type
,,,f1zcjtp3KrqoyqDPqem0,,specialized_grocery_store,,,,,fr,Saguenay--Lac-Saint-Jean,Lac-Saint-Jean-Est,Alma,,,,Quebec,Canada,2021-11-02,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,voIRegZtYxvfKMPsXDio,,institution,,,,,fr,Laurentides,Thérèse-De Blainville,Bois-des-Filion,,,,Quebec,Canada,2021-11-02,,,,,,,,,,,,,,,,Institution
,,,D7aD2pucIKygsZpo8ERY,,institution,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2021-11-02,,,,,,,,,,,,,,,,Institution
,,,IGsxhJvLp6o1OfAvbaQy,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-02,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,PTCetwoc7IbLgKKDhgb0,,institution,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-11-02,,,,,,,,,,,,,,,,Institution
,,,Zna05Jc0ZlI2xGNB5p8N,,institution,,,,,fr,Estrie,Brome-Missisquoi,Bedford,,,,Quebec,Canada,2021-11-03,,,,,,,,,,,,,,,,Institution
,,,0aMcwVICzKF0qwoVdJOi,,institution,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Chicoutimi,,,,Quebec,Canada,2021-11-03,,,,,,,,,,,,,,,,Institution
,,,Q7PLcItmELBmk6YFEk50,,institution,,,,,fr,Centre-du-Québec,Nicolet-Yamaska,Nicolet,,,,Quebec,Canada,2021-11-03,,,,,,,,,,,,,,,,Institution
,,,hjCeyWS7go3aEWTk4c6L,,specialized_grocery_store,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-03,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,JO3pk39tFwzoSQ3zB9UU,,specialized_grocery_store,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-11-04,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,7ZWZUnMZGhEkD1Oa4yRB,,institution,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-04,,,,,,,,,,,,,,,,Institution
,,,XOwhW3OvQwySRwnxIN1i,,institution,,,,,fr,Montréal,Lachine,Lachine,,,,Quebec,Canada,2021-11-04,,,,,,,,,,,,,,,,Institution
,,,g7aM6AcEUskncPzkry6R,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-05,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,2APf8zRdBYEHszYbTUqe,,restaurant,,,,,fr,Estrie,La Haute-Yamaska,Granby,,,,Quebec,Canada,2021-11-05,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,UUQtIEmjytrrzwIlA1Nl,,specialized_grocery_store,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-08,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,HF0qPC5gWKUWBDS9PPxz,,restaurant,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-11-09,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,dHcJCDO7PXnlprMc1inq,,restaurant,,,,,fr,Côte-Nord,Sept-Rivières,sept-iles,,,,Quebec,Canada,2021-11-11,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,HcaOjn1Z8lUrw0sRIkxq,,community_organization,,,,,fr,Côte-Nord,Sept-Rivières,Sept-Iles,,,,Quebec,Canada,2021-11-12,,,,,,,,,,,,,,,,Organisme communautaire
,,,cNGzYCCHYzn0AYnwkJXB,,restaurant,,,,,en,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-15,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,HJZEWuCRvcrM6tBVC6S2,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-16,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,ivJMvHgSJJPBhk6ejZLC,,restaurant,,,,,fr,Laurentides,Thérèse-De Blainville,Bois-des-Filion,,,,Quebec,Canada,2021-11-16,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,VGaLjjBaOCnSdqyx0wUU,,restaurant,,,,,en,Estrie,La Haute-Yamaska,Granby,,,,Quebec,Canada,2021-11-16,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,dIay6ZyRjIK7dG02EZcN,,restaurant,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-11-16,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,rSn67GAoImA1o2nuHPCM,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Mtl,,,,Quebec,Canada,2021-11-16,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,YZna1YwT0ongfOYsj9O5,,restaurant,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-11-17,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,m8kW2jZRbkvqUrMqrZUr,,institution,,,,,fr,Montérégie,Longueuil,longueuil,,,,Quebec,Canada,2021-11-17,,,,,,,,,,,,,,,,Institution
,,,wnlfW0NeWXBZ9UeUoerQ,,restaurant,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-11-17,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,E1mPZbKTJuL6epGiHwag,,restaurant,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-18,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,9hmtp0uaMdCxsyctnME1,,institution,,,,,fr,Capitale-Nationale,Québec,Québec,,,,Quebec,Canada,2021-11-18,,,,,,,,,,,,,,,,Institution
,,,e52O71k1CZFMpGuEeQiQ,,restaurant,,,,,fr,Laval,Laval,laval,,,,Quebec,Canada,2021-11-18,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,FD9ABWXIARArH8imjnqX,,restaurant,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-19,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,DpS6zFR4QNYYW3twZVQ4,,specialized_grocery_store,,,,,en,Montréal,Verdun,Verdun,,,,Quebec,Canada,2021-11-19,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,02ANFtDUWG9YGLrKLVfX,,specialized_grocery_store,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-11-20,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,x84UVtPKoRVTqJ6JQenr,,institution,,,,,fr,Bas-Saint-Laurent,Rimouski-Neigette,Rimouski,,,,Quebec,Canada,2021-11-20,,,,,,,,,,,,,,,,Institution
,,,yF88tSrCE5THYyhBSE1s,,producer,,,,,fr,Outaouais,Papineau,Plaisance,,,,Quebec,Canada,2021-11-22,,,,,,,,,,,,,,,,Boutique à la ferme
,,,3XnrkhUwALRKlTeMJ4z6,,institution,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Jonquière,,,,Quebec,Canada,2021-11-22,,,,,,,,,,,,,,,,Institution
,,,4JzhfMqquBvTzs8TQvKT,,restaurant,,,,,fr,Montréal,Saint-Léonard,Saint-Léonard,,,,Quebec,Canada,2021-11-22,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,P852v0kbBFkqtBTrrZIu,,restaurant,,,,,fr,Laval,Laval,Laval-Ouest,,,,Quebec,Canada,2021-11-22,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,vzuJu3Qpug90krW7UGqy,,producer,,,,,fr,Montérégie,Les Jardins-de-Napierville,St-Bernard-de-Lacolle,,,,Quebec,Canada,2021-11-23,,,,,,,,,,,,,,,,Boutique à la ferme
,,,eYgHFFYXWX6bZ27RAxsk,,specialized_grocery_store,,,,,fr,Centre-du-Québec,Drummond,Drummondville,,,,Quebec,Canada,2021-11-24,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,YW8LHoF2cZugS1w6vxm8,,restaurant,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-25,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,fxoemJVTCDtTSjZDMEnG,,specialized_grocery_store,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-26,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,3admKd2UuPdHnCKoFr1V,,community_organization,,,,,fr,Chaudière-Appalaches,Beauce-Sartigan,Saint-Georges-de-Beauce,,,,Quebec,Canada,2021-11-26,,,,,,,,,,,,,,,,Organisme communautaire
,,,vzyyzj3nmufyqDninSCQ,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-27,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,ZBIKQRgLeIZxtN2bKBWM,,restaurant,,,,,fr,Capitale-Nationale,Québec,Québec,,,,Quebec,Canada,2021-11-27,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,RNnfpKlFoI70PGknZgkQ,,specialized_grocery_store,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-11-27,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,YdTz33P1pZUVSlgjEKtb,,community_organization,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-11-29,,,,,,,,,,,,,,,,Organisme communautaire
,,,twJlpCr5YUaPHUw37Lne,,community_organization,,,,,fr,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2021-12-02,,,,,,,,,,,,,,,,Organisme communautaire
,,,WxRQhwJRfjWH7yyN0J3g,,community_organization,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-12-02,,,,,,,,,,,,,,,,Organisme communautaire
,,,wv2zG5ovYV2tMVQtzbzz,,community_organization,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-12-02,,,,,,,,,,,,,,,,Organisme communautaire
,,,0xsH6JNmMmum58czLkgD,,restaurant,,,,,en,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2021-12-07,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,XQL3WMU8ROOCVQzwNE6n,,community_organization,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2021-12-07,,,,,,,,,,,,,,,,Organisme communautaire
,,,6rHcBNcI6zCq5j5hLEvL,,community_organization,,,,,fr,Mauricie,,La Tuque,,,,Quebec,Canada,2021-12-07,,,,,,,,,,,,,,,,Organisme communautaire
,,,eIH3dnlhOl7hIeXwsAkY,,specialized_grocery_store,,,,,fr,Lanaudière,Matawinie,St Félix-de-valois,,,,Quebec,Canada,2021-12-08,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,RZlBnjzZNbTjLbOCFIJ4,,community_organization,,,,,fr,Capitale-Nationale,Québec,Québec,,,,Quebec,Canada,2021-12-08,,,,,,,,,,,,,,,,Organisme communautaire
,,,Qd5e92gBC8PT4zwEQB5j,,community_organization,,,,,fr,Laval,Laval,LAVAL,,,,Quebec,Canada,2021-12-08,,,,,,,,,,,,,,,,Organisme communautaire
