Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
UjIxOmUtKJRT1KLM0SP4,PO-000008,2024-06-17,2021-12-16,,,6,"138,2","138,2",completed,delivery,2021-11-30,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
Y9HAmtjo2GsXDD84Kac9,PO-000007,2024-06-17,2021-12-16,,,13,"46,8","46,8",completed,delivery,2021-11-25,0,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
tFHkrVKEvZmMQfPiBv5i,PO-000006,2024-06-17,2021-12-16,,,14,"90,9","90,9",completed,delivery,2021-11-23,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
a15ZqhJIyXUG5Xja3tzU,PO-000009,2024-06-17,2021-12-17,,,8,"338,33","338,33",completed,delivery,2021-12-02,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
UyVqSyudAgqof7VNDeYX,PO-000001,2024-06-17,2021-12-20,,,1,164,164,completed,delivery,2021-12-29,20,,rNLpukH8UjWpXmu889ym,,IbdjueUKwFIbzt3UNqhu,,,,FALSE
52nMriRGAM5ayc2LXLWO,PO-000002,2024-06-17,2021-12-21,,,2,232,232,completed,delivery,2021-12-17,0,,ZFRnYgmidK0jTd2lXwW9,,cEuE0YOEKcVpm79Rsxk3,,,,FALSE
Iq2bJmWKUCU6rgaf5uFo,PO-000039,2024-06-17,2021-12-21,,,8,"91,15","91,15",completed,delivery,2021-12-10,10,,De0LQFAAw6JiFjMTbVuV,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
EcND41GjsbCiwA0fy4ZU,PO-000013,2024-06-17,2021-12-23,,,4,"121,2","121,2",completed,pickup,2021-12-14,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
Jm1LO3I8BU3n5cZX5Kim,PO-000022,2024-06-17,2022-01-01,,,1,216,216,completed,delivery,2022-01-06,0,,xNtjzzMTE4Jfvrml7yaw,,O2KhMdW2ldc1n6L6zhUr,,,,FALSE
uatRPBoka6i7JZNT7H6u,PO-000010,2024-06-17,2022-01-01,,,1,450,450,completed,delivery,2021-12-02,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
UwqZhewbZs2vNU61NlM6,PO-000019,2024-06-17,2022-01-04,,,3,921,921,completed,delivery,2021-12-17,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
GaPqpgQudss3yV5H15tW,PO-000019,2024-06-17,2022-01-05,,,5,"119,4","119,4",completed,pickup,2021-12-28,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
Gu0NS301fwPrksXmumJe,PO-000011,2024-06-17,2022-01-05,,,10,"75,65","75,65",completed,pickup,2021-12-07,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
QOfJHSNQZasXfkMb7vzJ,PO-000012,2024-06-17,2022-01-05,,,6,"132,5","132,5",completed,delivery,2021-12-07,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
UBUAfpfgqbLlIcyWnrZR,PO-000014,2024-06-17,2022-01-12,,,12,"75,3","75,3",completed,pickup,2021-12-14,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
cjzRUQQajxmLQitolU1O,PO-000016,2024-06-17,2022-01-12,,,6,"138,25","138,25",completed,delivery,2021-12-14,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
2ixWcyknY2PGXfmWQ0Qs,PO-000018,2024-06-17,2022-01-19,,,4,141,141,completed,delivery,2021-12-21,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
vS55MklMQkr7cZLko1vv,PO-000017,2024-06-17,2022-01-19,,,9,"48,85","48,85",completed,pickup,2021-12-21,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
hQz8f6JqoaoO2C3noYpV,PO-000001,2024-06-17,2022-02-01,,,1,81,81,completed,delivery,2022-01-21,0,,7EgGwqYYOZYDxoWiXG57,,ML5tF617tQhAy9esvqdy,,,,FALSE
a1bBwfFbPMjVcCY5SHXX,PO-000022,2024-06-17,2022-02-14,,,18,"376,63","376,63",completed,delivery,2022-02-10,40,,p1psRZymrskOdudLEvMT,,o5NFZ714b9MZNMee0KeD,,,,FALSE
Ke9MjTA60IIFznAQHBvG,PO-000001,2024-06-17,2022-02-17,,,4,84,84,completed,delivery,2022-02-08,,,iyecptCf2ib79GmaepWK,,bh84nWsl3E2DxVn6raBO,,,,FALSE
5Wl8y0kfWGUbCUerXwUj,PO-000001,2024-06-17,2022-02-23,,,2,"50,44","50,44",completed,delivery,2022-02-16,0,,474UAr7Tfm7ajVNwigna,,4xJjhTQhgvcJWQdZBje5,,,,FALSE
xNPewKngMN3s3sx4ZgAX,PO-000001,2024-06-17,2022-02-24,,,1,81,81,completed,delivery,2022-02-14,0,,7EgGwqYYOZYDxoWiXG57,,ML5tF617tQhAy9esvqdy,,,,FALSE
FWDx7A2LpW6Umh4ZrMHr,PO-000002,2024-06-17,2022-03-01,,,3,51,51,completed,delivery,2022-02-17,,,iyecptCf2ib79GmaepWK,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
Zcd3hqc9oGEg3OSqh05F,PO-000001,2024-06-17,2022-03-03,,,1,65,65,completed,delivery,2022-01-25,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
vVefKJVxf8nXsoIQBfUB,PO-000001,2024-06-17,2022-03-03,,,14,"296,1","296,1",completed,delivery,2022-02-23,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
6cwFok25MHONXDFuFWBL,PO-000001,2024-06-17,2022-03-06,,,1,"377,51","377,51",completed,delivery,2022-02-23,48,,9v5o7nYtxHRr8wgwzc09,,M8GD8X70D3OKQB11psNm,,,,FALSE
0GPAFtsqIbeKvsfYC3BM,PO-000001,2024-06-17,2022-03-09,,,2,188,"195,49",completed,delivery,2022-02-26,50,,5FNIS4eo7BI21FGxstpx,,bjIzI3whOtyyZi4FX8pf,,,,FALSE
JGltOd3OJnfQ7hf0h2Fp,PO-000001,2024-06-17,2022-03-11,,,4,"272,44","272,44",completed,delivery,2022-03-05,"14,5",,trFxzcYMLiX8BVHBgJCL,,Qz9LPI8YGQesn9YJexzl,,,,FALSE
TQXyURKgR5GOJxP8wVLL,PO-000039,2024-06-17,2022-03-13,,,4,79,79,completed,delivery,2022-02-24,10,,2fnE1XiuRG39yBo7yB9S,,dapL4CyaXE995roaw1Df,,,,FALSE
ORVcxhUJ0Op6SyNrcwsM,PO-000001,2024-06-17,2022-03-15,,,8,"308,36","308,36",completed,delivery,2022-03-02,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
