Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
FojkS3djI4EQKS3GxTec,PO-000036,2024-06-17,2021-08-11,,,6,"202,5","202,5",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
G6KdP8fTzS1FpLB6LFOE,PO-000036,2024-06-17,2021-08-11,,,7,"424,66","424,66",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,K8CnpBgvBdcsNzKsocDp,,,,FALSE
GBKt2W3QFASQa3i1EvHW,PO-000034,2024-06-17,2021-08-11,,,14,"349,87","349,87",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,vGSixjnbVBtgxC8te5QW,,,,FALSE
OO5NX6DIq2i1wNECbxAb,PO-000041,2024-06-17,2021-08-12,,,3,93,93,completed,delivery,2021-07-15,10,,2fnE1XiuRG39yBo7yB9S,,hwYyuJ1eoz6b5XBfYGyb,,,,FALSE
RRPT7y7NblcZrcZDc01o,PO-000037,2024-06-17,2021-08-11,,,9,"166,5","166,5",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,3N6wNZs7BBGG28z4ax1b,,,,FALSE
RffiDhDN1nnBZrPOQAel,PO-000043,2024-06-17,2021-08-12,,,14,"322,31","322,31",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
UM1JTG5MA7KcQh4JCIa3,PO-000031,2024-06-17,2021-08-11,,,6,"182,5","182,5",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,5F8gXCfsAyEcGv7NV8U8,,,,FALSE
cen3UNHuhIl6OGYb5lq2,PO-000040,2024-06-17,2021-08-11,,,6,"319,2","319,2",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,cEuE0YOEKcVpm79Rsxk3,,,,FALSE
fmo8z5VhUmn7pIQ9COYi,PO-000032,2024-06-17,2021-08-11,,,21,"495,12","495,12",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,VUBkWAvqyYfQ660odGl9,,,,FALSE
fum537SM4vXQXn100xiJ,PO-000042,2024-06-17,2021-08-12,,,5,102,102,completed,delivery,2021-07-15,10,,2fnE1XiuRG39yBo7yB9S,,u8rVDLbbElpqzwLlV7JF,,,,FALSE
g8YKccJYytKdkuEGvPog,PO-000035,2024-06-17,2021-08-11,,,6,152,152,completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,9NjpBTaghK5cWph9I1IC,,,,FALSE
lVlPoz1ubJJ10i51yg87,PO-000038,2024-06-17,2021-08-11,,,10,"305,2","305,2",completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,y8wifilUDIxGFzk61Inf,,,,FALSE
rXM1mWM1267qfl5JfZCh,PO-000033,2024-06-17,2021-08-11,,,6,244,244,completed,delivery,2021-07-15,,,2fnE1XiuRG39yBo7yB9S,,JKXrQf8wkne5oUNmB4Z4,,,,FALSE
dAlUfPDk9AbQFyI2CffE,PO-000022,2024-06-17,2021-07-27,,,1,180,180,completed,delivery,2021-07-16,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
l4Y4yB0lVN8XlboMs7wV,PO-000024,2024-06-17,2021-07-30,,,1,60,60,completed,delivery,2021-07-16,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
2e9QzFj1IBsFDfsvmAaU,PO-000026,2024-06-17,2021-08-18,,,1,60,60,completed,delivery,2021-07-20,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
PO7gwS7tl60vRMi4wnv9,PO-000027,2024-06-17,2021-08-03,,,1,60,60,completed,delivery,2021-07-20,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
5MlBW84Q1UOurBZxsOVd,PO-000023,2024-06-17,2021-08-18,,,4,"223,25","223,25",completed,delivery,2021-07-21,,,96WfyBWlY4LIxh97AbYd,,dDowduNTLpBMVTs1t8SN,,,,FALSE
g6XrfsL9eDrS1EePxhSo,PO-000024,2024-06-17,2021-08-19,,,6,"343,5","343,5",completed,delivery,2021-07-21,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
6EVnayDcnByW82Vkxk0O,PO-000051,2024-06-17,2021-08-19,,,3,"77,5","77,5",completed,delivery,2021-07-22,10,,2fnE1XiuRG39yBo7yB9S,,cGQkbhs4f8oJ0BlF9HDI,,,,FALSE
7BQT6SbBX2nIq4wTwdqm,PO-000049,2024-06-17,2021-08-18,,,4,"303,05","303,05",completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,k7WDX6esUeJQsSLLYZXd,,,,FALSE
Kk7Y26g9kZgCIukZ3qDH,PO-000050,2024-06-17,2021-08-18,,,8,166,166,completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,3N6wNZs7BBGG28z4ax1b,,,,FALSE
NJxaJO90997NrcZM0am7,PO-000047,2024-06-17,2021-08-18,,,9,228,228,completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,9NjpBTaghK5cWph9I1IC,,,,FALSE
Y9sWsKvXyNGMio9RPYKN,PO-000048,2024-06-17,2021-08-18,,,10,"455,31","455,31",completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,y8wifilUDIxGFzk61Inf,,,,FALSE
b7MLSqsA1p5dC5z2TH5v,PO-000046,2024-06-17,2021-08-18,,,8,"377,16","377,16",completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,K8CnpBgvBdcsNzKsocDp,,,,FALSE
gkV773aJWDjJMImRI8Dw,PO-000044,2024-06-17,2021-08-18,,,7,"196,5","196,5",completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,5F8gXCfsAyEcGv7NV8U8,,,,FALSE
hkAtZZIgn7AvT5sDEb5i,PO-000045,2024-06-17,2021-08-18,,,8,"247,5","247,5",completed,delivery,2021-07-22,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
