Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
LUTn6r1W0Xq7Qgn8vXqR,PO-000034,2024-06-17,2021-12-28,,,3,"89,75","89,75",cancelledByVendor,delivery,2021-12-15,15,,5bfmJqpmAAHRFyEckXDP,,oWkkYBQOOPAQdOI0O6NK,,,,FALSE
M4dOLOCA0tXR6w9z0Rmk,PO230428-4152,2024-06-17,2023-05-28,,,2,308,308,cancelledByVendor,delivery,2023-05-02,20,,OosAh6jwi62Cd5fvEZ8V,,DdCumyx81ilLByGwOoPo,,DdCumyx81ilLByGwOoPo,,TRUE
Mu8bA22UaP3TWxdChj9h,PO230821-6496,2024-06-17,2023-09-05,,,3,"256,5","256,5",cancelledByVendor,delivery,2023-08-23,,,9RMSz3WXxOJBhcHJsiq0,,xeq84PuiWTOQsWnysY92,,xeq84PuiWTOQsWnysY92,,TRUE
OS9QCMF64cYDRB1C8n75,PO240529-4728,2024-06-17,2024-06-28,,,2,630,630,cancelledByVendor,delivery,2024-06-04,0,,Wg0Ey5tINc9Me5HiUNxF,,,,Wg0Ey5tINc9Me5HiUNxF,,TRUE
OSD95b8lYMDfAg5HnY0N,PO240513-0648,2024-06-17,2024-05-28,,,1,45,45,cancelledByVendor,delivery,2024-05-18,0,,EdMFd8C4VuiQVRH7YPvk,,9NjpBTaghK5cWph9I1IC,,9NjpBTaghK5cWph9I1IC,,TRUE
OY09zBUtwNEe5ZJZ4BNq,PO-000163,2024-06-17,2021-10-20,,,9,"306,87","306,87",cancelledByVendor,delivery,2021-09-23,,,2fnE1XiuRG39yBo7yB9S,,3N6wNZs7BBGG28z4ax1b,,,,FALSE
PN0Yl0GeY0OOmBfnykRP,PO230418-2488,2024-06-17,2023-05-03,,,6,225,225,cancelledByVendor,delivery,2023-04-20,0,,KQHvMD1fQ7jPyrC5nWsK,,wff3QDbtmySxiUgQiaR3,,wff3QDbtmySxiUgQiaR3,,TRUE
Py2woDe8fOANwpBckvT6,PO-000022,2024-06-17,2021-12-03,,,14,"355,5","355,5",cancelledByCustomer,delivery,2021-11-24,15,,5bfmJqpmAAHRFyEckXDP,,4uZwmjgqxKbD6xFoxs4S,,,,FALSE
Q8fwWh8eBARplgRkGJLL,PO-000006,2024-06-17,2021-09-16,,,4,"67,5","67,5",cancelledByCustomer,delivery,2021-09-08,0,,b9BfyQpyz5fxTBbguFU8,,VUBkWAvqyYfQ660odGl9,,,,FALSE
Qo5aRtvU9cK60AQKC1vm,PO-000001,2024-06-17,2021-06-14,,,8,"121,25","121,25",cancelledByVendor,delivery,2021-06-17,10,,2fnE1XiuRG39yBo7yB9S,,HkBtbxVb3rfH9awh5XKL,,,,FALSE
RTarlJgC4xAbZoCL2XWu,PO-000003,2024-06-17,2022-04-23,,,1,40,40,cancelledByCustomer,delivery,2022-04-13,0,,GyCLmySQhyIAyVAWAYxw,,1jv3zCpNb7lsbzdktWXs,,,,FALSE
RWSvpAAapX0u3Igc2WM3,PO231031-1648,2024-06-17,2023-11-15,,,5,113,113,cancelledByVendor,pickup,2023-11-08,,,mCKuyiXCU4pxAzXeTLqY,,3t5eiX9qJOqKN3lVEKUL,,3t5eiX9qJOqKN3lVEKUL,,TRUE
RafZnq8No4qA74QPVU0E,PO240513-2264,2024-06-17,2024-05-28,,,1,90,90,cancelledByVendor,delivery,2024-05-18,0,,EdMFd8C4VuiQVRH7YPvk,,y8wifilUDIxGFzk61Inf,,y8wifilUDIxGFzk61Inf,,TRUE
SCSVIeJt8EqPgTW9Lg7j,PO231020-9440,2024-06-17,2023-10-25,,,2,"466,25","466,25",cancelledByVendor,pickup,2023-10-22,,,0YqogYyZYUbd5M4JMbzL,,,,0YqogYyZYUbd5M4JMbzL,,TRUE
Sgf0GxBTaidb7QzEOymA,PO230411-8048,2024-06-17,2023-04-26,,,2,"52,5","52,5",cancelledByVendor,delivery,2023-04-13,,,KYlrIrQiq3F7kE7OViVn,,Alfk0rtkXCazOYfEOwPT,,Alfk0rtkXCazOYfEOwPT,,TRUE
SkNTZxf94uNGlh8vhxQS,PO220524-2560,2024-06-17,2022-06-07,,,1,243,243,cancelledByVendor,delivery,2022-05-27,,,7EgGwqYYOZYDxoWiXG57,,M8GD8X70D3OKQB11psNm,,,,FALSE
SpNJwb3fbHHToVmfXY2X,240604-9712,2024-06-17,2024-06-19,,,4,"172,5","172,5",cancelledByVendor,delivery,2024-06-07,10,,OosAh6jwi62Cd5fvEZ8V,,3N6wNZs7BBGG28z4ax1b,,3N6wNZs7BBGG28z4ax1b,,TRUE
TFDlmO6w0oHlf6uYYV4h,PO230420-6856,2024-06-17,2023-05-05,,,2,"766,7","766,7",cancelledByVendor,delivery,2023-04-27,,,bpoJsu8mGs8pwSd9f3Iy,,,,,,FALSE
TtwIbASmu0ZdpK01G8sB,PO-000006,2024-06-17,2022-05-03,,,4,"85,01","85,01",cancelledByVendor,delivery,2022-04-20,,,1QEz84NbcXp0r7dHxH59,,bh84nWsl3E2DxVn6raBO,,,,FALSE
USi51nU4jDeH1k6LfVak,PO220620-5896,2024-06-17,2022-07-05,,,1,200,200,cancelledByVendor,pickup,2022-06-22,,,WcFItrYB1u7l8TbljPxx,,YCwlCHfk35AKrpuwfuMC,,YCwlCHfk35AKrpuwfuMC,,TRUE
UW02DzFHEw1NWhgqXGip,PO230313-7288,2024-06-17,2023-03-28,,,1,"42,5","42,5",cancelledByCustomer,delivery,2023-03-15,20,,96WfyBWlY4LIxh97AbYd,,K8CnpBgvBdcsNzKsocDp,,K8CnpBgvBdcsNzKsocDp,,TRUE
UsfsmmYmKsAwiCX5dNAJ,PO-000052,2024-06-17,2021-10-27,,,2,75,75,cancelledByVendor,delivery,2021-10-01,,,4NK5HrGBRsSOuU6DBpXX,,Hf68LT9VWlD13M0uSDZX,,,,FALSE
V9Nb392eQ043KQZafvdn,PO-000001,2024-06-17,2021-09-07,,,4,"184,45","184,45",cancelledByVendor,delivery,2021-08-25,,,b9BfyQpyz5fxTBbguFU8,,,,,,FALSE
